ID,scode,sname,sem,dept,credit
,15UAG404,Soil and Water Conservation Engineering,4,AGRI,3
,15UAG405,Fundamentals of Thermodynamics,4,AGRI,4
,15UAG407,Surveying Laboratory,4,AGRI,2
,15UAG408,Tractors and Farm Engines Laboratory,4,AGRI,2
,15UAG406,Surveying for Agriculture,4,AGRI,3
,15UAG501,Irrigation and Drainage Engineering,5,AGRI,3
,15UAG502,Tillage and Sowing Implements,5,AGRI,3
,15UAG503,Plant Protection and Harvesting Equipments,5,AGRI,3
,15UAG504,Heat and Mass Transfer for Agriculture Engineers,5,AGRI,3
,15UAG901,Refrigeration and Air-Conditioning for Agriculture Engineers,5,AGRI,3
,15UAG902,Storage and Packaging Technology,5,AGRI,3
,15UAG507,Tillage and Sowing Equipments Laboratory,5,AGRI,2
,15UAG508,Plant Protection and Harvesting Equipments Laboratory,5,AGRI,2
,15UGS531,Soft Skills and Communication Laboratory,5,AGRI,1
,15UAG863,Vermicompost Technology,5,AGRI,1
,15UAG601,Solar and Wind Energy Engineering,6,AGRI,3
,15UAG602,Hydrology and Water Resources Engineering,6,AGRI,3
,15UAG603,Design of Agricultural Machinery,6,AGRI,4
,15UAG922,Ground and Well Water Engineering,6,AGRI,3
,15UAG921,Bio and ThermoChemical Conversion of Biomass,6,AGRI,3
,15UAG862,Mushroom Cultivation,6,AGRI,1
,15UAG607,CAD for Agricultural Engineering,6,AGRI,2
,15UAG608,Innovative and Creative Project,6,AGRI,2
,15UIT978,Website Designing,6,AGRI,3
,15UAG701,Bio Energy Resource Technology,7,AGRI,3
,15UAG702,Dairy and Food Engineering,7,AGRI,3
,15UAG703,Farm Management and Finance,7,AGRI,3
,15UAG905,Micro Irrigation,7,AGRI,3
,15UAG867,Energy Audit and Management,7,AGRI,1
,15UAG706,Bio Energy Laboratory,7,AGRI,2
,15UAG707,Post Harvest and Food Process Engineering Laboratory,7,AGRI,2
,15UAG708,Industrial Training,7,AGRI,2
,15UCE974,Disaster Management,7,AGRI,3
,15U3N062,Soil Science and Technology - NPTEL,7,AGRI,3
